verb;frequency;lang;cop
okay;1;en;26
slavery;1;en;26
disapper;1;en;26
commodifie;1;en;26
attendnowN;1;en;26
controlN;1;en;26
repay;1;en;26
tr;1;en;26
bound;1;en;26
fctc;1;en;26
neighbour;1;en;26
peatlandsgathere;1;en;26
wile;1;en;26
listenweN;1;en;26
warwage;1;en;26
contributorsthe;1;en;26
underwatercabinetmeete;1;en;26
drmande;1;en;26
stagemanage;1;en;26
pore;1;en;26
decompose;1;en;26
dip;1;en;26
factfille;1;en;26
meeting;1;en;26
alienate;1;en;26
fencedgreen;1;en;26
cloud;1;en;26
plugin;1;en;26
purge;1;en;26
clearfelle;1;en;26
tvbc;1;en;26
anote;1;en;26
abhndn;1;en;26
site;1;en;26
connectedlike;1;en;26
crown;1;en;26
lament;1;en;26
wetsuweten;1;en;26
planetsave;1;en;26
strikeN;1;en;26
businessasusual;1;en;26
newlyplante;1;en;26
centskwh;1;en;26
relinquish;1;en;26
statelevel;1;en;26
kickoff;1;en;26
rtshare;1;en;26
blocsincrease;1;en;26
fke;1;en;26
mckibben;1;en;26
soak;1;en;26
publicprivate;1;en;26
feign;1;en;26
gogreen;1;en;26
glfclimate;1;en;26
trilliontree;1;en;26
uboye;1;en;26
reborn;1;en;26
climateampenergy;1;en;26
scotsdefendassange;1;en;26
gatherN;1;en;26
shouldinside;1;en;26
theirfore;1;en;26
bf;1;en;26
unepbacke;1;en;26
illmannere;1;en;26
mekorot;1;en;26
longserve;1;en;26
revisitN;1;en;26
protectthesacre;1;en;26
merge;1;en;26
daem;1;en;26
reimporte;1;en;26
engineersinthemake;1;en;26
seam;1;en;26
seascape;1;en;26
mobiliseN;1;en;26
gas;1;en;26
cock;1;en;26
lounge;1;en;26
gurariderw;1;en;26
iron;1;en;26
draftN;1;en;26
chennai;1;en;26
shelve;1;en;26
sober;1;en;26
untie;1;en;26
stfu;1;en;26
paraphrase;1;en;26
thefutureisgreen;1;en;26
cute;1;en;26
ratioe;1;en;26
exulan;1;en;26
kidnap;1;en;26
rape;1;en;26
paairport;1;en;26
eject;1;en;26
bowl;1;en;26
solidarity;1;en;26
gatekeepe;1;en;26
forward;1;en;26
returnN;1;en;26
leakN;1;en;26
selfdetermination;1;en;26
lame;1;en;26
negotiation;1;en;26
postergate;1;en;26
dislike;1;en;26
goosebump;1;en;26
accomplishN;1;en;26
cspewe;1;en;26
conflict;1;en;26
greenbrande;1;en;26
plough;1;en;26
superimpose;1;en;26
bloom;1;en;26
democratize;1;en;26
expandN;1;en;26
lifedestroye;1;en;26
spice;1;en;26
enactN;1;en;26
mortgage;1;en;26
francepresse;1;en;26
kitte;1;en;26
peatland;1;en;26
swindle;1;en;26
entrust;1;en;26
caboodle;1;en;26
muster;1;en;26
barter;1;en;26
childhonoure;1;en;26
gasbase;1;en;26
rescind;1;en;26
bernoux;1;en;26
anchor;1;en;26
thairu;1;en;26
milarrochy;1;en;26
hatere;1;en;26
chytrid;1;en;26
incite;1;en;26
socialdistance;1;en;26
section;1;en;26
mol;1;en;26
mature;1;en;26
privatejette;1;en;26
mitigateN;1;en;26
pahabol;1;en;26
km;1;en;26
globaldayofaction;1;en;26
pissed;1;en;26
cofacilitator;1;en;26
relink;1;en;26
ecoworkforce;1;en;26
sdlp;1;en;26
speeche;1;en;26
pointless;1;en;26
rushN;1;en;26
attentionseeke;1;en;26
leftleane;1;en;26
signup;1;en;26
analysis;1;en;26
ecosystembase;1;en;26
westcornwall;1;en;26
nuclearexplaine;1;en;26
wombleswante;1;en;26
releaseN;1;en;26
soe;1;en;26
prance;1;en;26
inconvenience;1;en;26
kmmi;1;en;26
stopfailingus;1;en;26
comitte;1;en;26
fundraise;1;en;26
commodifyeN;1;en;26
buyout;1;en;26
cosye;1;en;26
jeer;1;en;26
paicc;1;en;26
epitomize;1;en;26
bowlN;1;en;26
pester;1;en;26
hospitalise;1;en;26
abateN;1;en;26
blocker;1;en;26
parse;1;en;26
readbehind;1;en;26
froth;1;en;26
saturdaymorne;1;en;26
selfiee;1;en;26
opine;1;en;26
speechify;1;en;26
ponce;1;en;26
farmer;1;en;26
coprepare;1;en;26
concentrate;1;en;26
bunk;1;en;26
serie;1;en;26
glorify;1;en;26
sensitize;1;en;26
immerse;1;en;26
marchN;1;en;26
wellmanage;1;en;26
wax;1;en;26
myanmar;1;en;26
charm;1;en;26
hog;1;en;26
lighten;1;en;26
unplug;1;en;26
frontN;1;en;26
stewarde;1;en;26
wakeN;1;en;26
meghan;1;en;26
subdueN;1;en;26
legalize;1;en;26
twentysix;1;en;26
comprehendN;1;en;26
pstpump;1;en;26
stophs;1;en;26
debtfuele;1;en;26
wellacquainte;1;en;26
flex;1;en;26
bikepowere;1;en;26
restate;1;en;26
lumpN;1;en;26
ffs;1;en;26
boot;1;en;26
pervade;1;en;26
picket;1;en;26
democracybase;1;en;26
attackN;1;en;26
rorte;1;en;26
deteriorate;1;en;26
climatecodere;1;en;26
devonshiregreen;1;en;26
gloss;1;en;26
disabilityle;1;en;26
thicken;1;en;26
inaugurate;1;en;26
letherbridge;1;en;26
livelihood;1;en;26
valley;1;en;26
fineN;1;en;26
launder;1;en;26
clogs;1;en;26
blight;1;en;26
balanceN;1;en;26
connectN;1;en;26
conquer;1;en;26
min;1;en;26
burnish;1;en;26
saddle;1;en;26
overplay;1;en;26
margaretha;1;en;26
tearfund;1;en;26
persevere;1;en;26
hype;1;en;26
worldiswatche;1;en;26
prise;1;en;26
monetizeN;1;en;26
apportion;1;en;26
chile;1;en;26
sidetrack;1;en;26
incinerate;1;en;26
liquidate;1;en;26
png;1;en;26
abdicate;1;en;26
incentivizeN;1;en;26
trivialise;1;en;26
crowd;1;en;26
tyre;1;en;26
tour;1;en;26
hydroflex;1;en;26
token;1;en;26
costN;1;en;26
activistsinclude;1;en;26
topple;1;en;26
sturgeonhasfaile;1;en;26
levy;1;en;26
inline;1;en;26
warnN;1;en;26
magnify;1;en;26
trick;1;en;26
gifs;1;en;26
makebigpolluterspay;1;en;26
keepmamaafricagreen;1;en;26
visual;1;en;26
paralyseN;1;en;26
demsabroad;1;en;26
fathomN;1;en;26
fayolle;1;en;26
supercut;1;en;26
fafetai;1;en;26
disorient;1;en;26
peoplecentre;1;en;26
wail;1;en;26
votethiscapdown;1;en;26
larigauderie;1;en;26
fascinate;1;en;26
cepka;1;en;26
summon;1;en;26
cuidich;1;en;26
roughcast;1;en;26
nay;1;en;26
neglectN;1;en;26
landworker;1;en;26
beyondamp;1;en;26
restorationhandbook;1;en;26
augur;1;en;26
assign;1;en;26
redyellow;1;en;26
sl;1;en;26
fridaymorne;1;en;26
defund;1;en;26
operationalizeN;1;en;26
tickborne;1;en;26
worldchange;1;en;26
burdenN;1;en;26
globalgoal;1;en;26
aaaaaaaaaah;1;en;26
happe;1;en;26
rideN;1;en;26
hibernate;1;en;26
dispute;1;en;26
stroke;1;en;26
likethrowN;1;en;26
falsify;1;en;26
calorie;1;en;26
boat;1;en;26
washN;1;en;26
signgtgt;1;en;26
plonk;1;en;26
decluttere;1;en;26
stomach;1;en;26
extol;1;en;26
blowN;1;en;26
hemisse;1;en;26
fourhundre;1;en;26
yrold;1;en;26
lifesize;1;en;26
ptpm;1;en;26
farreache;1;en;26
rema;1;en;26
scurry;1;en;26
transportrelate;1;en;26
bicycle;1;en;26
abideN;1;en;26
lambast;1;en;26
birdgirl;1;en;26
flirt;1;en;26
undercharge;1;en;26
fossilfree;1;en;26
overstate;1;en;26
whittle;1;en;26
thilste;1;en;26
saberrattle;1;en;26
carbonfree;1;en;26
clad;1;en;26
sin;1;en;26
lowspee;1;en;26
peterless;1;en;26
ampwellbee;1;en;26
budget;1;en;26
selfenriche;1;en;26
miscalculate;1;en;26
torness;1;en;26
damageN;1;en;26
bluffN;1;en;26
reacquire;1;en;26
hypocrisie;1;en;26
predicate;1;en;26
poope;1;en;26
bow;1;en;26
copresente;1;en;26
mutter;1;en;26
transformN;1;en;26
contradict;1;en;26
grandstandN;1;en;26
carpool;1;en;26
rave;1;en;26
naturesensitive;1;en;26
government;1;en;26
retweeteN;1;en;26
streamline;1;en;26
spite;1;en;26
flavour;1;en;26
youthareleade;1;en;26
freak;1;en;26
clamp;1;en;26
ovink;1;en;26
scheme;1;en;26
spe;1;en;26
nick;1;en;26
coolN;1;en;26
fink;1;en;26
caccavo;1;en;26
abet;1;en;26
fossilfuelrelated;1;en;26
decentralise;1;en;26
compute;1;en;26
natga;1;en;26
milk;1;en;26
reempowere;1;en;26
networkN;1;en;26
preppe;1;en;26
destruct;1;en;26
woo;1;en;26
salmonfarme;1;en;26
frog;1;en;26
devour;1;en;26
migration;1;en;26
daunt;1;en;26
manifestobroken;1;en;26
ctscanne;1;en;26
luckto;1;en;26
knight;1;en;26
buffer;1;en;26
objective;1;en;26
reportreduce;1;en;26
muchtrumpete;1;en;26
emanate;1;en;26
publicise;1;en;26
systemsthinke;1;en;26
photobombe;1;en;26
globalise;1;en;26
copinspire;1;en;26
mumble;1;en;26
evaporate;1;en;26
hoodwinkN;1;en;26
examineN;1;en;26
migrantle;1;en;26
showground;1;en;26
setup;1;en;26
rehabilitate;1;en;26
scaremongere;1;en;26
overule;1;en;26
hexagon;1;en;26
colorbase;1;en;26
bicyclewalke;1;en;26
shamble;1;en;26
foodinsecure;1;en;26
sever;1;en;26
preexist;1;en;26
koronivia;1;en;26
upset;1;en;26
convict;1;en;26
subscribeN;1;en;26
advocateN;1;en;26
plantingampcare;1;en;26
leadprime;1;en;26
cascade;1;en;26
vandalise;1;en;26
antie;1;en;26
developN;1;en;26
adaptas;1;en;26
incent;1;en;26
parisaligne;1;en;26
topselle;1;en;26
australias;1;en;26
colonize;1;en;26
describeN;1;en;26
debooste;1;en;26
steffen;1;en;26
hatch;1;en;26
besiege;1;en;26
hulk;1;en;26
goalsworke;1;en;26
equate;1;en;26
cleancooke;1;en;26
blunder;1;en;26
deify;1;en;26
suffice;1;en;26
band;1;en;26
animalbase;1;en;26
pro;1;en;26
grammarspelle;1;en;26
appraise;1;en;26
deeplearne;1;en;26
kausea;1;en;26
commonwealthcfah;1;en;26
offend;1;en;26
texte;1;en;26
psid;1;en;26
trialle;1;en;26
reignite;1;en;26
tailor;1;en;26
spruik;1;en;26
overgraze;1;en;26
truezero;1;en;26
frontline;1;en;26
raceN;1;en;26
financerelate;1;en;26
povertycreate;1;en;26
selfisolate;1;en;26
crap;1;en;26
sellafield;1;en;26
shandia;1;en;26
systemchange;1;en;26
londonaccelerate;1;en;26
image;1;en;26
aonb;1;en;26
requestN;1;en;26
interactN;1;en;26
copnoaa;1;en;26
seriouslyplace;1;en;26
grazeN;1;en;26
decentralize;1;en;26
privatize;1;en;26
flush;1;en;26
vitti;1;en;26
rectify;1;en;26
financingprogramme;1;en;26
beggar;1;en;26
gorge;1;en;26
trading;1;en;26
overwinter;1;en;26
disturbN;1;en;26
akinwumi;1;en;26
slouch;1;en;26
stepup;1;en;26
catchup;1;en;26
modiinglasgow;1;en;26
nicesounde;1;en;26
board;1;en;26
compulsory;1;en;26
ongoe;1;en;26
shiftN;1;en;26
swirl;1;en;26
gaslit;1;en;26
groupsinclude;1;en;26
dole;1;en;26
gratify;1;en;26
dangle;1;en;26
hone;1;en;26
cocreate;1;en;26
raychelle;1;en;26
progressN;1;en;26
corbyn;1;en;26
marketdriven;1;en;26
turbo;1;en;26
communityledhouse;1;en;26
outperform;1;en;26
frolic;1;en;26
intersect;1;en;26
tether;1;en;26
haul;1;en;26
modernize;1;en;26
contact;1;en;26
remedyN;1;en;26
carbonspaffe;1;en;26
ratify;1;en;26
augment;1;en;26
angst;1;en;26
pacificle;1;en;26
unocke;1;en;26
blondinandrew;1;en;26
hilali;1;en;26
hangN;1;en;26
spank;1;en;26
achange;1;en;26
bandy;1;en;26
ankush;1;en;26
program;1;en;26
utcgmt;1;en;26
accordN;1;en;26
progamme;1;en;26
yearn;1;en;26
haggle;1;en;26
denuncia;1;en;26
bypass;1;en;26
savebinste;1;en;26
containN;1;en;26
climateresilient;1;en;26
localise;1;en;26
salgado;1;en;26
wiz;1;en;26
edge;1;en;26
jecha;1;en;26
deface;1;en;26
selfdrive;1;en;26
humanityclimate;1;en;26
delegatesrep;1;en;26
prebunk;1;en;26
chequer;1;en;26
converse;1;en;26
startplan;1;en;26
wellendowe;1;en;26
stoph;1;en;26
bamboozleN;1;en;26
redecorate;1;en;26
grabN;1;en;26
inbounde;1;en;26
oilbase;1;en;26
reprimand;1;en;26
consumptionbase;1;en;26
driveN;1;en;26
dieselpowere;1;en;26
walkingcycle;1;en;26
reforestrewild;1;en;26
nope;1;en;26
ploughN;1;en;26
whale;1;en;26
barnstorm;1;en;26
materialise;1;en;26
failure;1;en;26
bemorejamesbrown;1;en;26
carneyle;1;en;26
cooler;1;en;26
idolise;1;en;26
despise;1;en;26
swan;1;en;26
gatecrash;1;en;26
nature;1;en;26
resultN;1;en;26
cooperateN;1;en;26
solution;1;en;26
justpasse;1;en;26
insure;1;en;26
profitmake;1;en;26
skew;1;en;26
guzzleN;1;en;26
boom;1;en;26
herd;1;en;26
changedriven;1;en;26
jab;1;en;26
overvtaxe;1;en;26
hakainde;1;en;26
hike;1;en;26
deceiveN;1;en;26
disempowere;1;en;26
crosschecke;1;en;26
amountN;1;en;26
remindN;1;en;26
splash;1;en;26
farmermanage;1;en;26
sleepN;1;en;26
deforestN;1;en;26
fitN;1;en;26
romance;1;en;26
statement;1;en;26
selfserve;1;en;26
sayinN;1;en;26
decode;1;en;26
hv;1;en;26
ksn;1;en;26
handN;1;en;26
condition;1;en;26
gatecrashe;1;en;26
initiativeone;1;en;26
pipeline;1;en;26
fashionrelate;1;en;26
eule;1;en;26
obviateN;1;en;26
wee;1;en;26
sponsorN;1;en;26
themdisguste;1;en;26
slope;1;en;26
dcbound;1;en;26
rebuke;1;en;26
contravene;1;en;26
laze;1;en;26
chide;1;en;26
virtuesignale;1;en;26
slink;1;en;26
interweave;1;en;26
mime;1;en;26
civilianle;1;en;26
slap;1;en;26
globetrot;1;en;26
fuk;1;en;26
doplantN;1;en;26
movedto;1;en;26
dredge;1;en;26
smarmie;1;en;26
futuresteale;1;en;26
retaliate;1;en;26
legend;1;en;26
floor;1;en;26
animal;1;en;26
scapegoat;1;en;26
welcomeaN;1;en;26
conveyN;1;en;26
presN;1;en;26
inequity;1;en;26
strangle;1;en;26
politick;1;en;26
snubN;1;en;26
evershrinke;1;en;26
sneer;1;en;26
hock;1;en;26
pat;1;en;26
enticeN;1;en;26
hound;1;en;26
rumour;1;en;26
musicrelaxe;1;en;26
dunno;1;en;26
fancyN;1;en;26
floatN;1;en;26
bat;1;en;26
colonise;1;en;26
broker;1;en;26
shit;1;en;26
postponeN;1;en;26
africanle;1;en;26
invigorate;1;en;26
demarcate;1;en;26
ppm;1;en;26
hashtag;1;en;26
fluctuate;1;en;26
palmfringe;1;en;26
nepal;1;en;26
twerke;1;en;26
goldtooth;1;en;26
televise;1;en;26
trip;1;en;26
headN;1;en;26
fastbecome;1;en;26
gcash;1;en;26
grieve;1;en;26
sequesterN;1;en;26
impend;1;en;26
eubase;1;en;26
changeinduce;1;en;26
blather;1;en;26
understateN;1;en;26
commercialize;1;en;26
corporatele;1;en;26
landfille;1;en;26
emptyN;1;en;26
decarboniseN;1;en;26
shechangesclimate;1;en;26
fox;1;en;26
encroach;1;en;26
straighten;1;en;26
geoscientific;1;en;26
incense;1;en;26
harp;1;en;26
vinisha;1;en;26
vomit;1;en;26
charcoalpowere;1;en;26
illuminate;1;en;26
unswerve;1;en;26
encourageN;1;en;26
duthchas;1;en;26
nationalise;1;en;26
eliud;1;en;26
amuse;1;en;26
domeshape;1;en;26
terawatthours;1;en;26
ggiosowog;1;en;26
suryopanishad;1;en;26
conflateN;1;en;26
welladvise;1;en;26
eyewatere;1;en;26
lowland;1;en;26
gcc;1;en;26
skyf;1;en;26
solarize;1;en;26
gametheme;1;en;26
tech;1;en;26
stillmarche;1;en;26
wavel;1;en;26
selfreport;1;en;26
gardenfavourite;1;en;26
elbow;1;en;26
cloudenable;1;en;26
rail;1;en;26
alia;1;en;26
gasemitte;1;en;26
saich;1;en;26
hi;1;en;26
cryosphere;1;en;26
poof;1;en;26
sustainablelive;1;en;26
risejust;1;en;26
impromptu;1;en;26
hector;1;en;26
quiz;1;en;26
autonomybuilde;1;en;26
fitnessenhance;1;en;26
livablecitycreate;1;en;26
joyinduce;1;en;26
surangel;1;en;26
bypassN;1;en;26
viewer;1;en;26
forego;1;en;26
travelledquarantine;1;en;26
venue;1;en;26
blackface;1;en;26
mate;1;en;26
reimburse;1;en;26
rwandagreen;1;en;26
kikwete;1;en;26
aspire;1;en;26
copeN;1;en;26
upsetN;1;en;26
challengeN;1;en;26
cabodelgado;1;en;26
manchin;1;en;26
alreade;1;en;26
emomali;1;en;26
cheerN;1;en;26
lurk;1;en;26
addde;1;en;26
spaffe;1;en;26
deuwa;1;en;26
powerN;1;en;26
devalue;1;en;26
court;1;en;26
compress;1;en;26
derange;1;en;26
gtto;1;en;26
livetweete;1;en;26
harbour;1;en;26
jamesbrown;1;en;26
freezeN;1;en;26
profess;1;en;26
cull;1;en;26
discisse;1;en;26
ragestroke;1;en;26
spruke;1;en;26
lifelonglearne;1;en;26
stanistreet;1;en;26
largeemitte;1;en;26
nzdbn;1;en;26
tamp;1;en;26
upend;1;en;26
whip;1;en;26
ghg;1;en;26
sardine;1;en;26
declassify;1;en;26
spareN;1;en;26
earthsave;1;en;26
napN;1;en;26
inbox;1;en;26
cookingheate;1;en;26
worktheseN;1;en;26
gate;1;en;26
belch;1;en;26
selffinance;1;en;26
scotlandiscalle;1;en;26
collectN;1;en;26
emulate;1;en;26
messN;1;en;26
illustrateN;1;en;26
grumble;1;en;26
hateN;1;en;26
realityhidme;1;en;26
kooyong;1;en;26
dcc;1;en;26
pal;1;en;26
excludeN;1;en;26
cankicke;1;en;26
login;1;en;26
sharingamplifye;1;en;26
thrust;1;en;26
standardise;1;en;26
forsake;1;en;26
aramco;1;en;26
cba;1;en;26
stitch;1;en;26
intercept;1;en;26
licence;1;en;26
remand;1;en;26
comvs;1;en;26
pinpoint;1;en;26
shudder;1;en;26
ampthe;1;en;26
rake;1;en;26
parachute;1;en;26
embarasse;1;en;26
abuzz;1;en;26
maleeka;1;en;26
cram;1;en;26
liaison;1;en;26
occupyN;1;en;26
commitment;1;en;26
foxhunt;1;en;26
outwardlooke;1;en;26
vegetate;1;en;26
parrot;1;en;26
socco;1;en;26
sdg;1;en;26
intentione;1;en;26
hitN;1;en;26
haltstop;1;en;26
avg;1;en;26
serco;1;en;26
resortN;1;en;26
orste;1;en;26
stoporste;1;en;26
eaten;1;en;26
stripN;1;en;26
reword;1;en;26
cyclone;1;en;26
background;1;en;26
tclimate;1;en;26
inculcate;1;en;26
buttress;1;en;26
completeN;1;en;26
hash;1;en;26
slowN;1;en;26
extendN;1;en;26
fulfillN;1;en;26
forceN;1;en;26
outstrip;1;en;26
accessN;1;en;26
fend;1;en;26
malinforme;1;en;26
spelt;1;en;26
astonishing;1;en;26
bribe;1;en;26
tower;1;en;26
dazzle;1;en;26
burgeon;1;en;26
covidclimate;1;en;26
tan;1;en;26
nbc;1;en;26
planespotte;1;en;26
sparkle;1;en;26
eland;1;en;26
shuar;1;en;26
reprieve;1;en;26
reminder;1;en;26
bladdere;1;en;26
mpg;1;en;26
reassert;1;en;26
tena;1;en;26
cower;1;en;26
slams;1;en;26
bikingebike;1;en;26
interfereN;1;en;26
gag;1;en;26
hurl;1;en;26
moatstv;1;en;26
footprintaccounte;1;en;26
rebroadcast;1;en;26
equalise;1;en;26
tomorrow;1;en;26
israginat;1;en;26
oflibdemsin;1;en;26
satslept;1;en;26
coerce;1;en;26
fortify;1;en;26
dino;1;en;26
damp;1;en;26
reenter;1;en;26
space;1;en;26
cringeworthy;1;en;26
sulk;1;en;26
arriveN;1;en;26
cruise;1;en;26
cancelN;1;en;26
decree;1;en;26
pale;1;en;26
rubberstamp;1;en;26
bookmark;1;en;26
ensue;1;en;26
borisissleepe;1;en;26
sustainable;1;en;26
hpm;1;en;26
card;1;en;26
despairN;1;en;26
peerreviewe;1;en;26
getcleanthinke;1;en;26
istandwithmacron;1;en;26
neck;1;en;26
compliment;1;en;26
castle;1;en;26
mcselfie;1;en;26
announcement;1;en;26
misremember;1;en;26
cobble;1;en;26
havere;1;en;26
morningevene;1;en;26
recruit;1;en;26
dambudzo;1;en;26
yawn;1;en;26
shakeN;1;en;26
diggin;1;en;26
pushbike;1;en;26
skedaddle;1;en;26
cosign;1;en;26
broaden;1;en;26
woulda;1;en;26
bangladeshi;1;en;26
selfpleasure;1;en;26
soap;1;en;26
crudelyaltere;1;en;26
overfishe;1;en;26
embdy;1;en;26
gie;1;en;26
ecocide;1;en;26
administrationpulle;1;en;26
gridlocke;1;en;26
yous;1;en;26
whine;1;en;26
exaggerateN;1;en;26
perpetuateN;1;en;26
forgoN;1;en;26
indulgeN;1;en;26
liven;1;en;26
aspiration;1;en;26
biodiversity;1;en;26
factchecke;1;en;26
longpromise;1;en;26
materialiseN;1;en;26
presribe;1;en;26
sidelineN;1;en;26
conflictaffecte;1;en;26
monitorN;1;en;26
radiate;1;en;26
invoke;1;en;26
speedup;1;en;26
money;1;en;26
edinbugh;1;en;26
virtue;1;en;26
belongN;1;en;26
methane;1;en;26
ar;1;en;26
deignN;1;en;26
legitimize;1;en;26
bonker;1;en;26
entwine;1;en;26
swinge;1;en;26
tumble;1;en;26
enjoyN;1;en;26
paulus;1;en;26
fkN;1;en;26
leapfrog;1;en;26
amplifyN;1;en;26
temazcal;1;en;26
humaninduce;1;en;26
emissionshippe;1;en;26
plaid;1;en;26
highpollute;1;en;26
style;1;en;26
recite;1;en;26
overstateN;1;en;26
sightseeing;1;en;26
antibolsonaro;1;en;26
overtakeN;1;en;26
handicap;1;en;26
aviation;1;en;26
contemplate;1;en;26
limber;1;en;26
aboutcovere;1;en;26
rewinde;1;en;26
mow;1;en;26
nectarrich;1;en;26
jetsette;1;en;26
quilt;1;en;26
satyendra;1;en;26
lung;1;en;26
trinley;1;en;26
belt;1;en;26
emissionbuste;1;en;26
mace;1;en;26
advanceN;1;en;26
farmN;1;en;26
fungi;1;en;26
headjerke;1;en;26
reprioritize;1;en;26
scienceinforme;1;en;26
communityimpact;1;en;26
brodin;1;en;26
thump;1;en;26
seduce;1;en;26
serveN;1;en;26
handpicke;1;en;26
reenvisione;1;en;26
menstruate;1;en;26
baseline;1;en;26
grandkid;1;en;26
asakhe;1;en;26
jam;1;en;26
large;1;en;26
strategize;1;en;26
flowerN;1;en;26
avoidshiftimprove;1;en;26
bbcs;1;en;26
conserveN;1;en;26
brew;1;en;26
planttalke;1;en;26
maryamrajavi;1;en;26
mmyr;1;en;26
derailN;1;en;26
subvertise;1;en;26
crucify;1;en;26
liberate;1;en;26
disintegrate;1;en;26
buildbuildbuild;1;en;26
massacre;1;en;26
electricitygenerate;1;en;26
unhinge;1;en;26
localize;1;en;26
realtime;1;en;26
fearmongere;1;en;26
spellbind;1;en;26
coexistN;1;en;26
bloat;1;en;26
devoteN;1;en;26
litter;1;en;26
tamileelam;1;en;26
bottledwarne;1;en;26
cultivate;1;en;26
bounce;1;en;26
hesitateN;1;en;26
igniteN;1;en;26
legitimise;1;en;26
fuckthisshit;1;en;26
demostrate;1;en;26
corner;1;en;26
gmtpm;1;en;26
stripe;1;en;26
longerlaste;1;en;26
childle;1;en;26
zambias;1;en;26
alainn;1;en;26
foretellN;1;en;26
quash;1;en;26
itweve;1;en;26
clone;1;en;26
shoehorn;1;en;26
taint;1;en;26
reevaluate;1;en;26
ingest;1;en;26
bodeN;1;en;26
tip;1;en;26
dontbemisteaken;1;en;26
rangie;1;en;26
torpedo;1;en;26
eventexpose;1;en;26
exile;1;en;26
misjudge;1;en;26
everywherehande;1;en;26
howl;1;en;26
spraypainte;1;en;26
expend;1;en;26
methink;1;en;26
conditional;1;en;26
financeN;1;en;26
discern;1;en;26
kmsyear;1;en;26
renewablesbase;1;en;26
council;1;en;26
revolve;1;en;26
organiseN;1;en;26
disembark;1;en;26
catastrophepromote;1;en;26
car;1;en;26
attendand;1;en;26
dyk;1;en;26
perfect;1;en;26
monetize;1;en;26
roil;1;en;26
onceabandone;1;en;26
ration;1;en;26
bollock;1;en;26
covidsafeN;1;en;26
sailN;1;en;26
afield;1;en;26
readvertise;1;en;26
outgunne;1;en;26
maskweare;1;en;26
unique;1;en;26
rattleN;1;en;26
eastender;1;en;26
wildfire;1;en;26
duckN;1;en;26
security;1;en;26
flinch;1;en;26
wellintentione;1;en;26
strongerconnecte;1;en;26
longestrunne;1;en;26
sbsta;1;en;26
panmao;1;en;26
obsessN;1;en;26
commonplace;1;en;26
showboate;1;en;26
arouse;1;en;26
ifad;1;en;26
food;1;en;26
fidget;1;en;26
wellinsulate;1;en;26
bin;1;en;26
gap;1;en;26
trus;1;en;26
shiver;1;en;26
angry;1;en;26
climateN;1;en;26
ilint;1;en;26
amongstat;1;en;26
ennoble;1;en;26
se;1;en;26
wishN;1;en;26
warfoote;1;en;26
ratchet;1;en;26
dab;1;en;26
resilience;1;en;26
media;1;en;26
scrabble;1;en;26
characterise;1;en;26
deliveredhoweverN;1;en;26
quercifolia;1;en;26
muchawaite;1;en;26
begrudge;1;en;26
stock;1;en;26
bullyboy;1;en;26
postcop;1;en;26
rewind;1;en;26
cormann;1;en;26
originate;1;en;26
howeverthe;1;en;26
frustrateN;1;en;26
quip;1;en;26
adaniwatch;1;en;26
downloadN;1;en;26
curiousclimate;1;en;26
cardanonft;1;en;26
chasehave;1;en;26
birth;1;en;26
chalk;1;en;26
chunder;1;en;26
dieN;1;en;26
cotton;1;en;26
footy;1;en;26
plummet;1;en;26
bode;1;en;26
jive;1;en;26
sic;1;en;26
combatN;1;en;26
slough;1;en;26
unload;1;en;26
tran;1;en;26
nonconforme;1;en;26
prearrange;1;en;26
beef;1;en;26
tweetpost;1;en;26
waghorn;1;en;26
seethe;1;en;26
torch;1;en;26
feast;1;en;26
dish;1;en;26
boastN;1;en;26
saveokavangodelta;1;en;26
motorise;1;en;26
humancentre;1;en;26
edouard;1;en;26
fritch;1;en;26
laudatosi;1;en;26
suspendN;1;en;26
curtainraise;1;en;26
displaceN;1;en;26
revel;1;en;26
zanupf;1;en;26
anoosheh;1;en;26
carryN;1;en;26
competeN;1;en;26
safeguardN;1;en;26
ngamba;1;en;26
simper;1;en;26
stopwhale;1;en;26
tanzaniaiswatche;1;en;26
tailstrike;1;en;26
preen;1;en;26
selfadminister;1;en;26
tiptoe;1;en;26
bornraise;1;en;26
stackN;1;en;26
denyN;1;en;26
silhouette;1;en;26
unconfirme;1;en;26
crave;1;en;26
radh;1;en;26
inaudate;1;en;26
jetset;1;en;26
spreadN;1;en;26
stagger;1;en;26
personify;1;en;26
oopsie;1;en;26
deductN;1;en;26
wetlandsinclude;1;en;26
trot;1;en;26
likeconsigne;1;en;26
prayersreflection;1;en;26
notifyN;1;en;26
accomany;1;en;26
shutN;1;en;26
confect;1;en;26
manifestN;1;en;26
consentN;1;en;26
guise;1;en;26
superglue;1;en;26
roverjaguar;1;en;26
oblivion;1;en;26
privatise;1;en;26
londoncentric;1;en;26
rofl;1;en;26
enroute;1;en;26
hencke;1;en;26
stressN;1;en;26
costlybut;1;en;26
workbutN;1;en;26
yell;1;en;26
colorize;1;en;26
uprootthesystem;1;en;26
forelocktugge;1;en;26
polluteN;1;en;26
webcast;1;en;26
topup;1;en;26
lowpaid;1;en;26
regime;1;en;26
sleepwalk;1;en;26
bute;1;en;26
spruce;1;en;26
kapoka;1;en;26
equipN;1;en;26
guessN;1;en;26
lull;1;en;26
replan;1;en;26
